,Predicciones,host_response_rate,price,host_acceptance_rate,room_type,accommodates,availability_30,availability_365,availability_60,availability_90,bedrooms,beds,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,calendar_updated,latitude,longitude,maximum_maximum_nights,maximum_minimum_nights,maximum_nights,maximum_nights_avg_ntm,minimum_maximum_nights,minimum_minimum_nights,minimum_nights,minimum_nights_avg_ntm,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ltm,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month
12570,75.52779064421858,86.0,199.0,71.0,,1.0,30,365,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.45951,-99.14853,365.0,28.0,365,365.0,365.0,28.0,28.0,28.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.05
12573,75.52779064421858,86.0,199.0,71.0,,1.0,30,365,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.45931,-99.14714,365.0,28.0,365,365.0,365.0,28.0,28.0,28.0,1.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.05
12599,75.52779064421858,86.0,201.0,71.0,,1.0,30,365,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.46369,-99.14541,365.0,28.0,365,365.0,365.0,28.0,28.0,28.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1
12938,84.44905169268542,93.0,300.0,88.0,,1.0,28,362,58.0,88.0,1.0,1.0,17,4.0,10,3,,19.43188,-99.16248,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,17.0,0.0,11.0,4.94,4.94,4.76,4.94,4.94,4.76,4.76,0.88
13482,75.52779064421858,86.0,200.0,71.0,,1.0,30,365,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.45963,-99.14687,365.0,28.0,365,365.0,365.0,28.0,28.0,28.0,0.0,0.0,0.0,4.9,4.95,4.86,4.83,4.93,4.88,4.88,2.4
13483,75.52779064421858,86.0,199.0,71.0,,1.0,30,180,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.46151,-99.14859,365.0,28.0,365,365.0,365.0,28.0,28.0,28.0,0.0,0.0,0.0,4.9,4.95,4.86,4.83,4.93,4.88,4.88,2.4
13485,75.52779064421858,86.0,199.0,71.0,,1.0,30,180,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.46147,-99.14649,365.0,28.0,365,365.0,365.0,28.0,28.0,28.0,0.0,0.0,0.0,4.9,4.95,4.86,4.83,4.93,4.88,4.88,2.4
13512,90.74641243277964,100.0,400.0,100.0,,2.0,0,271,55.8,84.0,1.0,2.0,6,0.0,5,1,,19.33639,-99.18367,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,42.0,0.0,24.0,4.9,4.95,4.86,4.83,4.93,4.88,4.88,2.4
13558,75.52779064421858,86.0,200.0,71.0,,1.0,30,365,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.46074,-99.14842,365.0,28.0,365,365.0,365.0,28.0,28.0,28.0,0.0,0.0,0.0,4.5,4.0,4.5,5.0,4.5,4.5,4.0,0.34
13561,75.52779064421858,86.0,200.0,71.0,,1.0,30,365,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.46101,-99.1463,365.0,28.0,365,365.0,365.0,28.0,28.0,28.0,0.0,0.0,0.0,4.5,4.0,4.5,5.0,4.5,4.5,4.0,0.34
13656,84.44905169268542,86.0,1643.0,88.0,,2.0,30,365,60.0,90.0,1.0,4.0,1,0.0,0,1,,19.39141,-99.07033,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,2.0,0.0,2.0,4.5,4.0,4.5,5.0,4.5,4.5,4.0,0.34
13696,75.52779064421858,86.0,203.0,71.0,,1.0,30,365,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.46266,-99.14386,365.0,28.0,365,365.0,365.0,28.0,28.0,28.0,2.0,0.0,0.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,0.14
13730,38.268406265327705,25.0,400.0,0.0,,2.0,0,302,55.8,27.0,1.0,1.0,1,0.0,0,1,,19.40733914038746,-99.16819496645802,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.67,4.33,3.33,3.67,0.19
13805,90.22163237110513,100.0,240.0,99.0,,9.0,30,365,60.0,90.0,1.0,9.0,10,0.0,0,10,,19.43375,-99.14331,1125.0,1.0,30,1125.0,1125.0,1.0,1.0,1.0,3.0,0.0,2.0,3.0,3.0,3.0,3.67,4.33,3.33,3.67,0.19
